ts_iso,ts_epoch,event,market_slug,event_url,market_url,price_prev,mid_before,mid,delta,abs_delta,z,abs_z,direction_strength,signal,volume,best_bid,best_ask,spread,percentile,severity,burst,trade_hint,regime,game_phase
2026-02-16T23:25:01Z,1771284301,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51250,0.51200,0.50900,-0.00300,0.00300,-1.11,1.11,-0.003323,DIP,207516,0.4960,0.5220,0.02600,93%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:01Z,1771284301,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.27000,0.27450,0.27950,0.00500,0.00500,0.95,0.95,0.004743,SPIKE,155502,0.2670,0.2920,0.02500,96%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:02Z,1771284302,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.27900,0.27250,0.27900,0.00650,0.00650,1.02,1.02,0.006619,SPIKE,155502,0.2670,0.2910,0.02400,98%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:02Z,1771284302,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25250,0.25900,0.25250,-0.00650,0.00650,-0.86,0.86,-0.005593,DIP,101407,0.2520,0.2530,0.00100,98%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:02Z,1771284302,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.27850,0.27350,0.27950,0.00600,0.00600,1.18,1.18,0.007092,SPIKE,155502,0.2790,0.2800,0.00100,98%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:04Z,1771284304,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.28050,0.28150,0.28750,0.00600,0.00600,1.95,1.95,0.011683,SPIKE,155502,0.2810,0.2940,0.01300,98%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:05Z,1771284305,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.28750,0.28850,0.28550,-0.00300,0.00300,1.73,1.73,-0.005183,DIP,155502,0.2850,0.2860,0.00100,93%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:07Z,1771284307,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51500,0.51450,0.52100,0.00650,0.00650,4.35,4.35,0.028243,SPIKE,207561,0.5000,0.5420,0.04200,98%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:08Z,1771284308,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51850,0.51800,0.52250,0.00450,0.00450,2.47,2.47,0.011121,SPIKE,207771,0.5010,0.5440,0.04300,96%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:09Z,1771284309,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.28850,0.28550,0.28250,-0.00300,0.00300,1.46,1.46,-0.004377,DIP,155590,0.2790,0.2860,0.00700,93%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:11Z,1771284311,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.28250,0.28450,0.28900,0.00450,0.00450,1.79,1.79,0.008074,SPIKE,155590,0.2840,0.2940,0.01000,96%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:11Z,1771284311,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.28450,0.28900,0.28600,-0.00300,0.00300,1.48,1.48,-0.004431,DIP,155590,0.2840,0.2880,0.00400,94%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:12Z,1771284312,Akron vs. Western Michigan,aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/event/aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/market/aec-cbb-akron-wmich-2026-02-17,0.90850,0.90800,0.90400,-0.00400,0.00400,-3.33,3.33,-0.013333,DIP,1,0.8880,0.9200,0.03200,95%,ALERT,,FADE,MEAN_REVERT,PRE_GAME
2026-02-16T23:25:14Z,1771284314,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25450,0.25450,0.25950,0.00500,0.00500,1.90,1.90,0.009486,SPIKE,103373,0.2540,0.2650,0.01100,97%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:15Z,1771284315,Akron vs. Western Michigan,aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/event/aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/market/aec-cbb-akron-wmich-2026-02-17,0.90850,0.90800,0.90400,-0.00400,0.00400,-2.71,2.71,-0.010846,DIP,1,0.8880,0.9200,0.03200,95%,WATCH,,FADE,MEAN_REVERT,PRE_GAME
2026-02-16T23:25:16Z,1771284316,Akron vs. Western Michigan,aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/event/aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/market/aec-cbb-akron-wmich-2026-02-17,0.90700,0.90900,0.90400,-0.00500,0.00500,-2.40,2.40,-0.011987,DIP,1,0.8880,0.9200,0.03200,97%,WATCH,,FADE,MEAN_REVERT,PRE_GAME
2026-02-16T23:25:16Z,1771284316,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25950,0.25450,0.28150,0.02700,0.02700,5.85,5.85,0.157924,SPIKE,108446,0.2540,0.3090,0.05500,100%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:16Z,1771284316,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25450,0.28150,0.28500,0.00350,0.00350,4.82,4.82,0.016884,SPIKE,108446,0.2600,0.3100,0.05000,94%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:17Z,1771284317,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.28500,0.28550,0.29150,0.00600,0.00600,3.20,3.20,0.019222,SPIKE,108446,0.2740,0.3090,0.03500,98%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:17Z,1771284317,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.28550,0.29150,0.27450,-0.01700,0.01700,1.51,1.51,-0.025647,DIP,108446,0.2740,0.2750,0.00100,100%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:18Z,1771284318,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.27200,0.27450,0.28000,0.00550,0.00550,1.79,1.79,0.009831,SPIKE,108475,0.2740,0.2860,0.01200,97%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:18Z,1771284318,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.27450,0.28000,0.29150,0.01150,0.01150,2.55,2.55,0.029285,SPIKE,108475,0.2740,0.3090,0.03500,100%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:18Z,1771284318,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.29150,0.29000,0.29750,0.00750,0.00750,2.57,2.57,0.019304,SPIKE,108501,0.2850,0.3100,0.02500,99%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:19Z,1771284319,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.29000,0.29750,0.29400,-0.00350,0.00350,2.16,2.16,-0.007559,DIP,108501,0.2850,0.3030,0.01800,94%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:19Z,1771284319,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.29750,0.29400,0.28550,-0.00850,0.00850,1.50,1.50,-0.012758,DIP,108501,0.2850,0.2860,0.00100,99%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:21Z,1771284321,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.28550,0.28650,0.29750,0.01100,0.01100,2.08,2.08,0.022846,SPIKE,108501,0.2850,0.3100,0.02500,100%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:22Z,1771284322,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.29850,0.29850,0.28950,-0.00900,0.00900,0.86,0.86,-0.007735,DIP,108577,0.2890,0.2900,0.00100,99%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:22Z,1771284322,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.29850,0.28950,0.29850,0.00900,0.00900,1.29,1.29,0.011573,SPIKE,108597,0.2890,0.3080,0.01900,99%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:22Z,1771284322,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.28950,0.28950,0.29850,0.00900,0.00900,1.14,1.14,0.010227,SPIKE,108638,0.2890,0.3080,0.01900,99%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:22Z,1771284322,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.28950,0.29850,0.30250,0.00400,0.00400,1.30,1.30,0.005210,SPIKE,108638,0.2950,0.3100,0.01500,95%,INFO,,,MEAN_REVERT,UNKNOWN
